,tweet_id,text,query,user_id,user_name,follower_count,user_tweet_count,likes,retweets,location_name,latitude,longitude,user_location,date
2554,1.35E+18,i cannot overstate this the president is directing a coup attempt insurrectionists have forced the 2nd 3rd and 4th persons in the line of succession to shelter in place,president,246130782,,597,34079,0,1103,,NA,NA,,1/6/21
2555,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,1.32E+18,,21,1394,0,228,,NA,NA,,1/6/21
2556,1.35E+18,senator mitt romney this is what the president has caused today this insurrection trumpterrorism,president,862324656,,86,26041,0,637,,NA,NA,,1/6/21
2557,1.35E+18,the very capitol is now under siege the rioters are now inside the building itself this is an attempted violent insurrection fomented by the president these are not protesters theyre violent revolutionaries,president,210198155,,301,66442,0,321,,NA,NA,,1/6/21
2558,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,153223848,,96,5930,0,26893,,NA,NA,,1/6/21
2559,1.35E+18,this president has to be removed from office now waiting for the 20th is not acceptable he is leading an insurrection against the us government people asked how low would he go welcome to it he cares for nothing,president,18999351,,38,1752,0,0,,NA,NA,,1/6/21
2560,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,159647859,,378,11170,0,26893,,NA,NA,OK,1/6/21
2561,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,258873196,,1596,205706,0,2590,,NA,NA,MD,1/6/21
2562,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,624760483,,38,14113,0,2885,,NA,NA,,1/6/21
2563,1.35E+18,this is what the president has caused today this insurrection romney said,president,37767153,,1045,5308,1,0,,NA,NA,CA,1/6/21
2564,1.35E+18,happening where leaders country were conducting appropriate transfer of power just couple hours ago our president incited a mob to raid the halls of our democracy trump said he would walk with them this would be what a coup insurrection if not usa wed be calling it that,president,333014276,,7362,308930,0,223,,NA,NA,NE,1/6/21
2565,1.35E+18,the craziest thing is tomorrow trump will still be president after encouraging a straight up insurrection against his own country,president,16819263,insanul ahmed,8549,76973,37,15,,NA,NA,NY,1/6/21
2566,1.35E+18,the president of the united states fomenting insurrection a dark day in our history,president,492643594,,1232,184709,0,70,,NA,NA,PA,1/6/21
2567,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1334261346,,4058,129865,0,26893,,NA,NA,,1/6/21
2568,1.35E+18,cnn an armed insurrection of an attempted coup by president trump,president,15671638,,373,86704,0,0,,NA,NA,OR,1/6/21
2569,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,39426262,,318,14777,0,26893,,NA,NA,,1/6/21
